Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Evan Fournier\fournev01,0.439,5.3,0.356,0.491,0.805,0.6,3.1,3,1,0.1,17.2
Garrett Temple\templga01,0.424,3.4,0.373,0.476,0.784,0.5,2.8,2.6,1.3,0.4,7.8
Gary Harris\harriga01,0.502,4.5,0.42,0.558,0.776,0.8,3.1,2.9,1.2,0.1,14.9
Gerald Henderson\hendege02,0.423,2.4,0.353,0.455,0.806,0.5,2.6,1.6,0.6,0.2,9.2
Hollis Thompson\thompho01,0.385,2.4,0.337,0.429,0.655,0.5,2.8,0.9,0.5,0.2,5.1
Ian Clark\clarkia01,0.487,2.1,0.374,0.556,0.759,0.3,1.6,1.2,0.5,0.1,6.8
Iman Shumpert\shumpim01,0.411,3.4,0.36,0.469,0.789,0.5,2.9,1.4,0.8,0.4,7.5
Isaiah Canaan\canaais01,0.364,2.4,0.266,0.481,0.909,0.2,1.3,0.9,0.6,0,4.6
J.J. Redick\redicjj01,0.445,6,0.429,0.462,0.891,0.1,2.2,1.4,0.7,0.2,15
J.R. Smith\smithjr01,0.346,6.6,0.351,0.329,0.667,0.4,2.8,1.5,1,0.3,8.6
Jamal Crawford\crawfja01,0.413,3.9,0.36,0.443,0.857,0.2,1.6,2.6,0.7,0.2,12.3
Jamal Murray\murraja01,0.404,4.2,0.334,0.466,0.883,0.5,2.6,2.1,0.6,0.3,9.9
Jason Terry\terryja01,0.432,2.3,0.427,0.444,0.828,0.2,1.4,1.3,0.6,0.3,4.1
Jeremy Lamb\lambje01,0.46,2.4,0.281,0.536,0.853,0.5,4.3,1.2,0.4,0.4,9.7
Jodie Meeks\meeksjo01,0.402,3.8,0.409,0.395,0.878,0.1,2.1,1.3,0.9,0.1,9.1
Joe Harris\harrijo01,0.425,4.3,0.385,0.489,0.714,0.3,2.8,1,0.6,0.2,8.2
Jonathon Simmons\simmojo02,0.42,1.3,0.294,0.461,0.75,0.3,2.1,1.6,0.6,0.3,6.2
Jordan Clarkson\clarkjo01,0.445,4.3,0.329,0.503,0.798,0.6,3,2.6,1.1,0.1,14.7
Jordan McRae\mcraejo01,0.387,1.4,0.353,0.404,0.794,0.2,1.1,0.5,0.2,0.2,4.4
Josh Richardson\richajo01,0.394,4.3,0.33,0.444,0.779,0.7,3.2,2.6,1.1,0.7,10.2
Justin Holiday\holidju01,0.433,3.3,0.355,0.513,0.825,0.3,2.7,1.2,0.8,0.4,7.7
Kentavious Caldwell-Pope\caldwke01,0.399,5.8,0.35,0.442,0.832,0.7,3.3,2.5,1.2,0.2,13.8
Klay Thompson\thompkl01,0.468,8.3,0.414,0.516,0.853,0.6,3.7,2.1,0.8,0.5,22.3
Kyle Korver\korveky01,0.464,5.4,0.451,0.494,0.905,0.1,2.8,1.6,0.5,0.3,10.1
Leandro Barbosa\barbole01,0.439,1.5,0.357,0.466,0.889,0.2,1.6,1.2,0.5,0.1,6.3
Lou Williams\willilo02,0.429,5.5,0.365,0.48,0.88,0.3,2.5,3,1,0.2,17.5
Malcolm Brogdon\brogdma01,0.457,2.6,0.404,0.48,0.865,0.6,2.8,4.2,1.1,0.2,10.2
Manu Ginobili\ginobma01,0.39,3.3,0.392,0.387,0.804,0.4,2.3,2.7,1.2,0.2,7.5
Marco Belinelli\belinma01,0.429,3.8,0.36,0.488,0.893,0.2,2.4,2,0.6,0.1,10.5
Marcus Smart\smartma01,0.359,4.2,0.283,0.42,0.812,1,3.9,4.6,1.6,0.4,10.6
Marcus Thornton\thornma01,0.4,2.4,0.35,0.431,0.852,0.7,2.3,1.2,0.6,0.1,6.6
Monta Ellis\ellismo01,0.443,1.8,0.319,0.483,0.727,0.3,2.8,3.2,1.1,0.4,8.5
Nick Young\youngni01,0.43,7,0.404,0.481,0.856,0.4,2.3,1,0.6,0.2,13.2
Nicolas Batum\batumni01,0.403,5.3,0.333,0.453,0.856,0.6,6.2,5.9,1.1,0.4,15.1
Nik Stauskas\stausni01,0.396,4.5,0.368,0.433,0.813,0.3,2.8,2.4,0.6,0.4,9.5
Norman Powell\powelno01,0.449,2.3,0.324,0.514,0.792,0.3,2.2,1.1,0.7,0.2,8.4
Patrick Beverley\beverpa01,0.42,4.3,0.382,0.463,0.768,1.4,5.9,4.2,1.5,0.4,9.5
Patrick McCaw\mccawpa01,0.433,1.7,0.333,0.533,0.784,0.3,1.4,1.1,0.5,0.2,4
Randy Foye\foyera01,0.363,2.9,0.33,0.418,0.857,0.1,2.2,2,0.5,0.1,5.2
Rashad Vaughn\vaughra01,0.365,2,0.321,0.413,0.4,0.1,1.2,0.6,0.5,0.2,3.5
Rodney Hood\hoodro01,0.408,5.2,0.371,0.44,0.783,0.3,3.4,1.6,0.6,0.2,12.7
Rodney McGruder\mcgruro01,0.413,2.8,0.332,0.488,0.62,1.2,3.3,1.6,0.6,0.2,6.4
Ron Baker\bakerro01,0.378,1.7,0.267,0.45,0.651,0.2,1.9,2.1,0.7,0.2,4.1
Sean Kilpatrick\kilpase01,0.415,4.4,0.341,0.468,0.843,0.3,4,2.2,0.6,0.1,13.1
Tim Hardaway\hardati02,0.455,5.3,0.357,0.537,0.766,0.4,2.8,2.3,0.7,0.2,14.5
Tomas Satoransky\satorto01,0.415,0.6,0.243,0.473,0.697,0.4,1.5,1.6,0.5,0.1,2.7
Tony Allen\allento01,0.461,0.8,0.278,0.479,0.615,2.3,5.5,1.4,1.6,0.4,9.1
Tony Snell\snellto01,0.455,4.4,0.406,0.548,0.81,0.3,3.1,1.2,0.7,0.2,8.5
Troy Daniels\danietr01,0.374,5.3,0.389,0.336,0.796,0.3,1.5,0.7,0.3,0.1,8.2
Victor Oladipo\oladivi01,0.442,5.3,0.361,0.491,0.753,0.6,4.3,2.6,1.2,0.3,15.9
Wayne Ellington\ellinwa01,0.416,6.4,0.378,0.509,0.86,0.3,2.1,1.1,0.6,0.1,10.5
Wesley Matthews\matthwe02,0.393,6.6,0.363,0.432,0.816,0.2,3.5,2.9,1.1,0.2,13.5
Will Barton\bartowi01,0.443,3.9,0.37,0.483,0.753,1,4.3,3.4,0.8,0.5,13.7
Zach LaVine\lavinza01,0.459,6.6,0.387,0.515,0.836,0.4,3.4,3,0.9,0.2,18.9
Alec Burks\burksal01,0.411,2.2,0.331,0.452,0.863,0.3,3,1,0.6,0.1,7.7
Alex Abrines\abrinal01,0.395,2.9,0.38,0.443,0.848,0.3,1.5,0.4,0.5,0.1,4.7
Allen Crabbe\crabbal01,0.407,7.1,0.378,0.461,0.852,0.4,4.3,1.6,0.6,0.5,13.2
Andre Roberson\roberan03,0.537,0.9,0.222,0.627,0.316,1.9,4.7,1.2,1.2,0.9,5
Arron Afflalo\afflaar01,0.401,1.3,0.386,0.413,0.846,0.1,1.2,0.6,0.1,0.2,3.4
Austin Rivers\riverau01,0.424,5.9,0.378,0.461,0.642,0.4,2.4,4,1.2,0.3,15.1
Avery Bradley\bradlav01,0.414,4.4,0.369,0.436,0.768,0.5,2.5,2,1.1,0.2,14.3
Ben McLemore\mclembe01,0.421,2.8,0.346,0.477,0.828,0.6,2.5,0.9,0.7,0.3,7.5
